AAR	Scare Marla badly (5)
UNIT	Retinue returns, carrying the two of them as one? (4)
UNITE	In fun, I teased couple (5)
UNITER	Untie unfortunate merger (6)
UNIVERSE	The whole world possibly use "Riven" (8)
UNIVERSITIES	I revise units developed for educational institutions (12)
UNMASK	Reveal University of New Mexico as leader in kinesiology (6)
UNMENTIONABLES	Mounties nab Len cavorting in intimate apparel (14)
UNOPPRESSED	Free from unwanted constraints, Ron speeds up recklessly (11)
UNPOPULAR	Shunned, set upon, star gives up sex (9)
UNRIVALED	Fashioned rude anvil without match (9)
UNRULED	Like paper without lines, United Nations decided (7)
UNSEGMENTED	Lacking distinct features, ugly men need guts (11)
UNTIE	Unite, perhaps, or just the opposite? (5)
UNTIL	Before holding of recount, I litigated (5)
UNTRUTH	Hurt nut spread lie (7)
UNUOSAKA	[3]; Soak poor outside a Japanese city (5)
UNUSUAL	Rare luau hulas incorporate sun reflection (7)
UNUTTERED	Urdu tenet better left unspoken (9)
UODYNJAA	Smear by cheap newspaper writing about Herb (8)
UPBEAT	Optimistic, new beau keeps quiet and takes time (6)
UPEND	Drastically alter uniform then hang (5)
UPEND	Lift object to tip over (5)
UPPER	After first bit, meal is superior (5)
UPRIGHT	Honest but not grand? (7)
UPRISES	University snoops around; student leader protests (7)
UPS	FedEx competitor's high times (3)
UPSCALE	High end of Jacob's ladder? (7)
UPSHIFTS	Without slip, UPS advances to second (8)
UPSURGING	In short, delivery company encouraging "RUSH"ing (9)
UPTURN	Bad pun about tour losing nothing implies favorable market change (6)
URBANE	Some fur ban enthusiasts, extremely polite (6)
URGE	Skilled doctor loses son to powerful craving (4)
URIS	"Tourist Traps" author (4)
URL	Address Mr. Ives topless (3)
URN	Vessel is run adrift (3)
USAGE	Uganda's first wise man established practice (5)
USAGES	America develops traditions (6)
USAGES	Practices in America over many years (6)
USATODAY	Newspaper pitching ads at you (3,5)
USED	Employed you and me and Ed (4)
USED	Worked with school, with seed getting energy extracted (4)
USERFRIENDLY	Nude riflery's tricky but accessible to non-experts (4-8)
USERS	Escorts no heroin addicts (5)
USES	Dr. Seuss almost functions (4)
USES	Employs school vehicles after the 1st (4)
USHERED	Escorted into the theater with second hand around her  (7)
USHERING	Escorting gnu on the rebound keeps heirs confused (8)
USHERING	Henry's initial hesitation between doing drugs and acting as an escort (8)
USHERS	Brings in ghastly twins Roderick and Madeline (6)
USHERS	Drug dealer's topless escorts (6)
USING	Escorting that woman out for taking drugs (5)
USLOSSTOOLIE	[5]; Informer depositing excessively -- in S&L, that is (7)
USURP	American Right enters into prominence; this is appropriate (5)
USURPERS	Those taking over U.S.S.R., pure in revolutionary form (8)
UTENSIL	Listen out after you hear instrument (7)
UTERI	"Hatcher" follows under "Reproductive Organs" (5)
UTILITY	Usefulness or uselessness, starting late (7)
UTTER	Pronounce complete (5)
UTTERMOST	Mutters to bum as much as possible (9)
UTTERS	Speaks of truest shot (6)
UTTERS	States eliminate source of murmers (6)
UVA	A type of sun ray comes down on a grape (3)
UVEA	Ultraviolet exposure initially affects only the front of eye component (4)
UWKOGIQH	Signs ran amok in outside parts of building (8)
UYCJCJXAH	Brought action against arresting Spot's steady (9)
UZI	Weapon wrongly used in seizure (3)
VACANT	Empty container fits into another container (6)
VACCINATE	Breaking a vice can't prevent disease (9)
VACILLATE	Hesitate to leave when harboring evil (9)
VALENTINESDAY	A date in February: good time for a massacre? (10,3)
VALENTINOS	Lover boys with Italian wines, having a fast time? (10)
VALLEYS	Depressions beginning to vex bowling lanes (7)
VANCOUVER	Where to find Hex's uranium: hidden in truck hood (9)
VANDALS	Sometimes they mischievously spray-paint footwear, making the top violet (7)
VANGUARDS	Groundbreakers "Dancin'" and "Sugar" following vaudeville's lead  (9)
VARNISHING	Glossing over furtive departure, concealing reasons initially (10)
VARSITY	Top teams try VISA out (7)
VASSAL	Servile victory, as Laos is overthrown (6)
VAT	Formation of geese next to tub (3)
VAULTERS	Jumpers violate TVA rules (8)
VBZGKCGD	Nathan Li concocted an asthma medicine (8)
VEAL	It's essential to have a little meat (4)
VEGA	A star gave ground (4)
VEGETABLEGARDEN	Transplanting gave gnarled beet place to grow? (9, 6)
VEHICLE	Production's very elaborate highbrow is creating lackluster energy from the leads  (7)
VELCRO	Strip of wild clover (6)
VELCRO	What keeps them together?  Credit given to animated love (6)
VELOCIRAPTORS	Random, visceral troop of hunters - that may open a door for you? (13)
VELOCITIES	Speeds through Boston and New York following lost love (10)
VENICE	The first lady, topless and charming, in a romantic city (6)
VENISON	Wild game cooking in ovens (7)
VENTING	Some craven tin god letting off steam (7)
VENUS	Goddess is against holding back one Quebecoise (5)
VERANDA	Porch spans over and above (7)
VERANDAH	Kind of porch amidst clover and a hedge (8)
VERB	It might depict movement observed in riverbed (4)
VERDI	Italian composers drive misinterpreted  (5)
VERMIN	Bad people invested in silver mine (6)
VERNA	Ms. Miles has an item of news for Ms. Lisi (5)
VERNE	Jules never dances (5)
VERSATILE	Multitalented near-phony described by "vile" (9)
VERSED	Acquainted pairs finishing love letters aroused (6)
VERSIFIED	Put in meter; got the facts about gas, finally (9)
VERSIFIED	Wrote a poem for Rev. Spooner's foxes and minks I've ogled (9)
VERTIGO	Pierre's green, and I get a dizzy feeling (7)
VESICLE	Amongst leaves I cleared a niche (7)
VESTED	Fully participating in mockery of Steve Dallas's face (6)
VETO	Overturn vote! (4)
VETOING	Unfortunately, given to nay-saying (7)
VETS	Examines old soldiers briefly (4)
VIA	By five, I answer (3)
VIBRANCE	Bra-wearing promoter McMahon has energy (8)
VICEPRESIDENT	Deputy chief of police squad hiding papers in here (4-9)
VICHYSSOISE	(11): POUT AT OOPS (6 4); HIOSS
VICTOR	Hugo winner (6)
VICTORIA	Rocky VII actor and woman with a secret? (8)
VIDELICET	Evil edict is funny to wit (9)
VIE	I've lost struggle (3)
VIEWERS	For those watching, we contend earlier with reading and writng? (7)
VIEWERS	People watching six pitchers (7)
VIEWS	Novices upset wives (5)
VIEWS	Wives' strange ideas (5)
VIKINGS	Scandinavian seafarers' six greatest leaders (7)
VINTAGERS	Six strange, strange winegrowers (9)
VIOLATE	Defile Vivien Love, deceased (7)
VIOLINS	Six lions play fiddles (7)
VIRTU	Five old N.Y.C. subways turn into objets d'art (5)
VIRTUOUS	Pure pathogen gets back in circulation (8)
VISA	Inadvisable restraining authorization (4)
VISE	Compete without satisfactory grip (4)
VISIT	Call at six to hold a meeting (5)
VISITS	Stays in a hotel central to Kiev; is it safe? (6)
VISTA	Foreign entry authorization gains time for US program abroad (5)
VISTA	Street cuts through scenic lookout (5)
VITAE	Latin lives of Evita explained within (5)
VITREOUS	Gaga over suit made over glass (8)
VIVACE	Scores quick 65 with hole-in-one (6)
VIVALDI	For a man of all seasons: best wishes and slow up (except at the end.) (7)
VOGUE	Opinion piece replaces article in obscure fashion magazine (5)
VOODOO	(500 + 500) + (500 - 500) + (-500 + 500): could this make someone feel stuck? (6)
VOUCHSAFES	Word, after some pain, secured in opposing grants (10)
VOYAGE	In very old age, unknown makes journey (6)
VROOMS	Muscle car's roars: an aspect of machismo or vanity -- how reactionary (6)
WACO	A cow's wandering around, somewhere in Texas (4)
WADE	Move laboriously with fruit drink (4)
WAFFLES	Hems and haws about breakfast food (7)
WAGED	Carried on with wit,energy and a little determination (5)
WAGER	Bet on which athletes get earliest racing starts (5)
WAGERS	Battles taking on multinational corporation - risky propositions (6)
WALLED	Fortified trio from Wales set the pace (6)
WALTZ	Disney incorporated the mark of Zorro into the dance. (5)
WALTZTIME	3/4 of Disney's herb, by the sound of it (5,4)
WAND	Washed out Democrats stick with power? (4)
WANDER	Andrew to go astray (6)
WANDER	Pale Bolshevik is riding up-range (6)
WAR	Escalating naked conflict (3)
WARMONGER	Tepid on Germany's military advocate (9)
WARN	Caution of conflict with Navy (4)
WARRANT	Justify jingoism? (7)
WARRINGD	Contending with a radical cabal (7); [1]
WARY	Suspicious struggle on yacht (4)
WARY	Worried about the drawbacks of "Fight Club" (4)
WASABI	Japanese mustard was a bit short (6)
WASHES	Cleans a bit of mildew as he soaks (6)
WASPS	Spanish saying about those of a certain extraction, briefly (5)
WASSAIL	Drink with Harry after work (7)
WASTE	Component of landfill center announced (5)
WASTE	Refuse to listen to the middle (5)
WASTED	Was Kennedy shot? (6)
WATCHDOG	Guard primarily worships at church, with ascending divinity (8)
WATCHMAN	Fellow with a timepiece stands guard. (8)
WATCHOUT	Heads up from Washington: Leaders of the Congress hail offensive upon terrorism (5,3)
WATER	Fight over the missing centerpiece for aquarium's environment (5)
WATER	Waiter forgetting one drink (5)
WATERAN	Gripped by awe at her van, especially the rooster on the roof, perhaps? (7,4)
WATERED	Irrigated tree tangled in wad (7)
WATERFALL	After crashing into wall, it goes over the edge (9)
WATERINGHOLE	Rudely, we hog latrine in bar
WATERLOO	Somewhat later, in court, a major defeat (8)
WATUSI	Lawsuit's resolved after the first dance (6)
WAVECREST	A little wine in Tours with others, and something foamy on top (4,5)
WAVERING	Fluctuating state maintained by critical aircraft component (8)
WAX	Record increase (3)
WAXBILL	Buff Clinton's bird (7)
WBGWDIDZ	A nation's giddy musical work (8)
WEALTHIER	Real white, strangely, having more green? (9)
WEAR	Last heard where? (4)
WEATHERMAN	Sixties radical revised "Men Hate War"(10)
WEATHERSTATIONS	Forecaster's sources are not what is set reeling (7,8)
WEDGIE	Pull on underwear and footwear (6)
WEEEGOTISTIC	[3]; Go east -- first sit back, have a spasm, and be proud (9)
WEEKLY	Speaking without conviction every Sunday, perhaps (6)
WEEVILS	Jenny and Bill pursued by pernicious small destructive creatures (7)
WEIGH	Consider sound possibility (5)
WEIGHT	Audible delay for burden (6)
WEIGHTLESSLY	How Skylab personnel lived with delay, Gore reported (12)
WEIRD	Odd one enters, lured back (5)
WEIRDO	Creep around, or I wed (6)
WELLGROUNDED	Sound went slowly around cuckoo or gull (4,8)
WENG	Crossword editor Will with engineer (4)
WENTAPE	Returning recent recording is not crazy (4,3)
WHALE	White House Ale is a big thing at the beach (5)
WHANG	Hit for designer Vera, reportedly (5)
WHATADUMP	Loud noise covers a little line by Bette Davis (4,1,4)
WHEEDLE	Cajole important person having below-average grade at end of June (7)
WHETTED	Ground dipped around bottom of ditch (7)
WHIFFLE	Very loud inside during youngsters' kind of ball (7)
WHIG	American patriot is hot in toupee (4)
WHIMSICAL	Capricious, initially wanted that guy to incite Al (9)
WHISPERS	Andrew is personally stifling rumors (8)
WHIT	A bit pale, lacking energy (4)
WHIT	Bit of humor about the origin of hayrides (4)
WHITEMEAT	Turkey breast, for instance, comes from something in grain (5,4)
WHITEWALL	There's very little we back completely in status symbol (9)
WHITHER	Members of Ravenclaw hit Hermione where? (7)
WHITISH	Sort of pale after what one desires gets squashed (7)
WHOA	Exclamation: "Oh! Aw, nuts" (4)
WHODUNITS	Two hindus translated mystery stories (9)
WHOLESOME	Entire portion is healthful (9)
WHORED	Slept around noisy swarm (6)
WICCA	Two-inch crab used on and off in pagan rites (5)
WICKIUP	Draw one above Indian hut (7)
WIDEST	Broadest woman, i.e. (6)
WIDOWS	Operating system drops no single lines (6)
WILDEBEEST	See bet of antelope? (10)
WILDGOOSECHASE	Vain pursuit of dog: I was close -- he played (4,5,5)
WILDLIFE	File indexing natural flora and fauna (8)
WILIEST	Supremely clever stories, overlaid with humor (7)
WILLHAPPEN	See 1A (4,6)
WILLIN	(With 4A) Children's classic and Shakespeare in the store displays (4,2)
WILLS	Johnston's desires (5)
WINDINSTRUMENTS	Marching band sections, guys, in sound of victory parades? (4,11)
WINDINSTRUMENTS	Triumph and uproar shocks conquering men in the reeds  (4 11)
WINGNUT	Tightener with improved tuning (4,3)
WINTER	Profit by almost completing period in schools season (6)
WISCONSINITES	Stupidly sits in ice, snow with Packers fans? (13)
WISEGUY	Pair of witnesses' mostly smooth transfer may end with Tony Soprano, possibly (7)
WISHBONE	Part of the chicken's offensive formation (8)
WISPS	Second thoughts following half-formed wishes are handfuls of straw (5)
WISPY	Shadowy woman on "I Spy" (5)
WITH	In the company of humorist at her debut (4)
WITHERING	Humor the man -- boxing is humiliating (9)
WITHIT	Hip comic on strike (4-2)
WITHIT	Hip humorist slammed (4,2)
WITNESSING	Wise guys holding new piece of evidence confess to being at the scene of the crime (10)
WOLF	Casanova: smart without a trace of nerves (4)
WOMBAT	Bill cut up marsupial (6)
WOMBATS	Marsupials cut up -- twice (7)
WON	Gained a hearing (3)
WONT	Refuse to practice (4)
WONTON	Gained a lot of weight from Chinese food (6)
WORD	Promise sword loses its tip (4)
WORD	Swear weapon loses its tip (4)
WORE	Cow or elk hides lasted well (4)
WORKING	Elmer Fudd's way of sneaking is doing the trick (7)
WORLDS	Societies of women or Mormons (6)
WORTHY	Were the sounds good? (6)
WRANGLE	To be a cowboy in a northern range by the Sound (7)
WRING	... squeeze in girdle as we speak (5)
XEAR	A page turned down haircut equipment (6)
XEBEC	Ship turned without signal up to the halfway point (5)
XEGORY	Protest rules by one's self in class (8)
XENON	Man on Ex-Lax holds back gas (5)
XGEREL	Silly lines for tap-dancing "Chicago" actor sporting shimmery gold (8)
XKHB	Partially open a rock (4)
XOODER	Note to leave out the German reformer (8)
XRAYS	One-time pay increase announced for diagnostic photography (1-4)
XRAYS	Ten manta's medical pictures (1-4)
XXWMI	Salute to a saint (5)
YAHOO	Yokel, I hear, is a dot-com biggie (5)
YAM	Root for mounting might (3)
YAMMERS	Complains to Sammy re cast (7)
YAMMERS	Laid up, Emma joins senior exercise club and complains loudly (7)
YANGTZE	Get zany, swimming in exotic river (7)
YANKEES	Look--New York is heading west with a ball club (7)
YANKEES	Perennial champs look for no upset (7)
YANKING	Taking out ruler after Year One (7)
YARD	Cart moved back three feet (4)
YARDAGE	Egad! Ray hiked some distance (7)
YARDSTICKS	Lawn's biting insects; they have three feet? (10)
YAWED	Ed, following 'way back, got off track (5)
YEAH	I suppose "Yee-hah!" lacks.....how's that again? (4)
YEARN	Long time to the third of June (5)
YEARNING	Lust is unknown on the job (8)
YEARS	Cycles within easy earshot (5)
YEARSAEDYR	Speak of your past; Reckless outbreak
YEAS	Ones who opt for easy breaks (4)
YEAST	.
YEAST	Cause of uprising at army's last bridge position (5)
YEAST	Producer of alcohol is as yet unfamiliar
YEGG	Leaders of Yard eventually grab German safecracker (4)
YELL	Eye llama stifling bleat (4)
YELLANOY	Traverse yon alley in reverse and shout a sound of distress (in yiddish)? (4,2,2)(8)
YELLOW	Cowardly scream at the sound of pain (6)
YELLOWBELLIED	Lily-livered shout "it hurts!" by telephone's inventor that is a little dazed (6-7)
YELLOWISH	Cry at nothing and hope to be only slightly cowardly? (9)
YELLOWS	The olde bull's last moo's for daffodils or buttercups, e.g. (7)
YELLOWSEA	Back alley holds terrible woes for a wet body near Seoul (6,3)
YELLS	Calls for lemon and mustard, losing zero weight (5)
YELTSIN	Russian leader unorthodox in style (7)
